StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Study Hours,Attendance (%),Online Classes Taken,Pass
2388.0,Sarah Welch,Male,95.0,20.0,90.0,2.0,High,68.0,1.9,59.0,False,1
2821.0,Leslie King,Female,92.0,,85.0,1.0,High,,3.2,89.0,False,0
8940.0,James Long,Male,78.0,25.0,70.0,1.0,Low,,,83.0,False,0
5528.0,David Diaz,Male,92.0,20.0,65.0,1.0,Medium,,0.8,52.0,True,0
4016.0,Julia Brooks,Female,78.0,15.0,88.0,0.0,Medium,,2.2,90.0,False,0
9202.0,Charles Pearson,Female,91.0,18.0,60.0,2.0,High,,3.9,72.0,True,0
5516.0,Jean Moreno,Male,90.0,15.0,60.0,3.0,High,,1.0,56.0,True,0
3656.0,Cynthia Nguyen,Male,78.0,15.0,60.0,2.0,Medium,78.0,1.4,61.0,True,1
1749.0,Ian Glass,Female,88.0,17.0,70.0,3.0,Low,,2.2,93.0,True,0
5421.0,Samuel Smith,Female,92.0,25.0,90.0,2.0,High,,4.3,81.0,False,0
5041.0,Michael Willis,Male,95.0,8.0,86.0,3.0,Low,68.0,4.6,50.0,False,1
7350.0,Samantha Klein,Male,92.0,22.0,86.0,2.0,High,88.0,3.1,81.0,True,1
8940.0,James Long,Male,78.0,25.0,70.0,1.0,Low,,,83.0,False,0
1725.0,Michael Anderson,Female,95.0,8.0,85.0,1.0,High,85.0,1.1,97.0,True,1
9202.0,Charles Pearson,Female,91.0,18.0,60.0,2.0,High,,3.9,72.0,True,0
2778.0,Bethany Andersen,Male,92.0,,70.0,0.0,High,88.0,0.5,80.0,True,1
1749.0,Ian Glass,Female,88.0,17.0,70.0,3.0,Low,,2.2,93.0,True,0
4396.0,Michelle Ryan,Female,70.0,15.0,88.0,1.0,Low,92.0,0.1,62.0,False,1
9841.0,Julie Garza,Male,85.0,22.0,90.0,3.0,Medium,90.0,4.5,,False,1
9589.0,Joyce Bishop,Male,92.0,,82.0,0.0,Medium,88.0,0.4,92.0,False,1
,Caleb Walker,Female,78.0,20.0,88.0,1.0,High,,2.2,51.0,False,0
9633.0,Dawn Taylor,Female,85.0,25.0,60.0,3.0,High,80.0,1.0,63.0,True,1
8940.0,James Long,Male,78.0,25.0,70.0,1.0,Low,,,83.0,False,0
4016.0,Julia Brooks,Female,78.0,15.0,88.0,0.0,Medium,,2.2,90.0,False,0
6993.0,Vincent Smith,Female,,17.0,85.0,2.0,Low,78.0,2.6,90.0,False,1
3278.0,Jonathan Hess,Male,82.0,8.0,88.0,0.0,,85.0,5.0,,True,1
2728.0,Raymond Howell,Female,85.0,8.0,85.0,0.0,High,72.0,2.0,71.0,True,1
2416.0,William Christian,Female,82.0,17.0,90.0,3.0,Medium,,1.4,96.0,False,0
3440.0,Brandon Williamson,Male,95.0,,88.0,0.0,Medium,,,69.0,False,0
1996.0,Manuel Baker,Female,70.0,8.0,85.0,1.0,Low,,0.4,55.0,False,0
9743.0,Mr. Clinton Camacho,Female,90.0,15.0,60.0,1.0,High,78.0,4.6,,True,1
5528.0,David Diaz,Male,92.0,20.0,65.0,1.0,Medium,,0.8,52.0,True,0
2492.0,Cole Gomez,Male,85.0,22.0,60.0,2.0,High,85.0,1.1,55.0,True,1
3440.0,Brandon Williamson,Male,95.0,,88.0,0.0,Medium,,,69.0,False,0
7258.0,Mary Ramos,Female,91.0,12.0,90.0,1.0,High,90.0,1.3,87.0,False,1
2416.0,William Christian,Female,82.0,17.0,90.0,3.0,Medium,,1.4,96.0,False,0
9906.0,Sean Lyons,Male,,15.0,85.0,2.0,Medium,,2.6,76.0,True,0
2592.0,,Male,82.0,10.0,60.0,1.0,Medium,72.0,2.1,97.0,True,1
2771.0,Sharon Watson,Male,88.0,22.0,60.0,0.0,Low,92.0,0.4,94.0,True,1
7305.0,Alyssa Berg MD,Female,91.0,25.0,65.0,,Low,,0.2,81.0,True,0
2690.0,,Female,95.0,18.0,65.0,0.0,High,68.0,0.3,86.0,True,1
9201.0,David Robertson,Male,82.0,20.0,82.0,,Low,,0.8,98.0,True,0
8381.0,Peter Welch,Female,88.0,15.0,90.0,2.0,Low,,3.5,79.0,True,0
1960.0,Kristina Douglas,,,15.0,60.0,2.0,Medium,85.0,2.1,96.0,False,1
1138.0,Holly Spencer,Female,88.0,8.0,70.0,3.0,Medium,62.0,3.6,58.0,True,1
6804.0,David Aguilar,Female,70.0,17.0,78.0,2.0,High,,3.6,56.0,,0
5087.0,Andrew Cook,Male,85.0,15.0,88.0,3.0,Medium,,4.1,82.0,False,0
2270.0,Shelly Stuart,Male,85.0,20.0,88.0,0.0,Low,90.0,1.9,99.0,True,1
5407.0,Isaiah Moore,,70.0,18.0,78.0,0.0,Medium,80.0,0.5,99.0,False,1
2674.0,Loretta Gonzalez,Male,90.0,10.0,60.0,1.0,Low,72.0,2.6,56.0,True,1
2070.0,Samuel Robinson,Male,91.0,15.0,82.0,3.0,Low,92.0,3.2,52.0,,1
6092.0,Christian Odom,Male,91.0,12.0,90.0,0.0,Medium,90.0,3.9,93.0,True,1
7064.0,Paige Turner,Male,91.0,8.0,77.0,0.0,Medium,,4.0,82.0,False,0
5087.0,Andrew Cook,Male,85.0,15.0,88.0,3.0,Medium,,4.1,82.0,False,0
1996.0,Manuel Baker,Female,70.0,8.0,85.0,1.0,Low,,0.4,55.0,False,0
1606.0,Mary Benson,Female,70.0,,70.0,3.0,Low,,4.7,81.0,True,0
5778.0,Christopher Collins,Female,95.0,8.0,88.0,1.0,Medium,85.0,1.2,62.0,True,1
6179.0,John King,Male,85.0,20.0,77.0,1.0,Low,85.0,4.0,87.0,True,1
7305.0,Alyssa Berg MD,Female,91.0,25.0,65.0,,Low,,0.2,81.0,True,0
3252.0,Timothy Dean,Male,82.0,,60.0,1.0,Medium,92.0,3.8,68.0,False,1
8940.0,James Long,Male,78.0,25.0,70.0,1.0,Low,,,83.0,False,0
5516.0,Jean Moreno,Male,90.0,15.0,60.0,3.0,High,,1.0,56.0,True,0
4016.0,Julia Brooks,Female,78.0,15.0,88.0,0.0,Medium,,2.2,90.0,False,0
8161.0,Lisa Johnson,Female,92.0,10.0,60.0,0.0,High,85.0,0.4,90.0,True,1
7064.0,Paige Turner,Male,91.0,8.0,77.0,0.0,Medium,,4.0,82.0,False,0
4275.0,Kelsey Watkins,Female,78.0,,82.0,0.0,High,85.0,1.0,,True,1
6820.0,Terry Hernandez,Male,82.0,18.0,65.0,2.0,Low,87.0,3.5,78.0,False,1
5275.0,Jessica Banks,Male,95.0,8.0,86.0,2.0,Low,,2.3,51.0,True,0
8940.0,James Long,Male,78.0,25.0,70.0,1.0,Low,,,83.0,False,0
7705.0,Jordan Brooks,Female,88.0,18.0,90.0,2.0,High,62.0,2.9,81.0,True,1
2463.0,Brittany Briggs,Female,70.0,25.0,60.0,1.0,Low,80.0,4.8,78.0,False,1
2915.0,Keith Bailey,Female,91.0,30.0,77.0,0.0,High,68.0,1.4,62.0,False,1
5525.0,Kelsey Bush,Female,85.0,22.0,86.0,2.0,Medium,87.0,2.1,59.0,True,1
3831.0,Jessica Jenkins,Female,92.0,10.0,82.0,2.0,,68.0,-5.0,200.0,True,1
4696.0,Dawn Nguyen,Female,90.0,25.0,90.0,0.0,Medium,85.0,0.3,90.0,True,1
6533.0,Mario Johnston,Male,91.0,17.0,88.0,1.0,High,87.0,3.1,79.0,True,1
7242.0,Heather Johnson,Female,90.0,25.0,77.0,1.0,Low,72.0,1.6,89.0,True,1
8684.0,Dawn Morton,Male,95.0,22.0,,1.0,Medium,,2.5,76.0,True,0
9892.0,David Gonzalez,Female,92.0,22.0,65.0,2.0,Medium,,3.7,67.0,True,0
5528.0,David Diaz,Male,92.0,20.0,65.0,1.0,Medium,,0.8,52.0,True,0
9069.0,Michael Webster,Male,91.0,25.0,82.0,3.0,High,87.0,0.1,90.0,True,1
2116.0,Kimberly Pena,Female,91.0,30.0,88.0,2.0,High,68.0,3.6,79.0,False,1
6804.0,David Aguilar,Female,70.0,17.0,78.0,2.0,High,,3.6,56.0,,0
9202.0,Charles Pearson,Female,91.0,18.0,60.0,2.0,High,,3.9,72.0,True,0
6.0,Olivia,Female,95.0,30.0,88.0,1.0,High,,2.8,97.0,False,0
3595.0,John Williams,Female,90.0,10.0,86.0,,Low,62.0,2.0,80.0,False,1
2699.0,Eric Scott,Female,91.0,17.0,86.0,1.0,High,88.0,1.9,72.0,True,1
5516.0,Jean Moreno,Male,90.0,15.0,60.0,3.0,High,,1.0,56.0,True,0
1996.0,Manuel Baker,Female,70.0,8.0,85.0,1.0,Low,,0.4,55.0,False,0
5275.0,Jessica Banks,Male,95.0,8.0,86.0,2.0,Low,,2.3,51.0,True,0
6804.0,David Aguilar,Female,70.0,17.0,78.0,2.0,High,,3.6,56.0,,0
7288.0,Teresa Sanders,Male,90.0,12.0,88.0,1.0,High,62.0,1.2,54.0,False,1
,Caleb Walker,Female,78.0,20.0,88.0,1.0,High,,2.2,51.0,False,0
4016.0,Julia Brooks,Female,78.0,15.0,88.0,0.0,Medium,,2.2,90.0,False,0
6893.0,Abigail Ingram,Male,85.0,10.0,85.0,2.0,Medium,90.0,3.3,75.0,True,1
8684.0,Dawn Morton,Male,95.0,22.0,,1.0,Medium,,2.5,76.0,True,0
2659.0,Andrea Bradley,Female,92.0,17.0,82.0,2.0,Medium,80.0,0.5,61.0,True,1
4758.0,Donna Fowler,Male,78.0,,78.0,2.0,High,68.0,2.1,89.0,True,1
2604.0,Yolanda Chen,Male,82.0,15.0,85.0,3.0,High,,2.4,63.0,False,0
8381.0,Peter Welch,Female,88.0,15.0,90.0,2.0,Low,,3.5,79.0,True,0
9021.0,Christine Curtis,Female,70.0,17.0,82.0,3.0,Low,62.0,0.5,77.0,False,1
3458.0,Nicole Cunningham,Male,85.0,12.0,60.0,3.0,,92.0,2.1,96.0,False,1
8021.0,Maria Walls,Female,88.0,10.0,90.0,1.0,Medium,,2.4,94.0,True,0
7147.0,David Stone,,91.0,22.0,60.0,0.0,Low,87.0,4.3,98.0,False,1
9189.0,Kim Fischer,Female,78.0,22.0,82.0,0.0,Low,80.0,3.0,69.0,True,1
3994.0,Angel Stout,Male,85.0,25.0,90.0,3.0,Medium,92.0,1.1,65.0,False,1
6549.0,,Male,85.0,15.0,,2.0,High,85.0,0.1,89.0,True,1
,Caleb Walker,Female,78.0,20.0,88.0,1.0,High,,2.2,51.0,False,0
3291.0,Timothy Newman,Female,95.0,12.0,88.0,3.0,Low,72.0,1.0,56.0,,1
8021.0,Maria Walls,Female,88.0,10.0,90.0,1.0,Medium,,2.4,94.0,True,0
1268.0,Tina Knight,Male,95.0,15.0,88.0,,Medium,87.0,1.1,,False,1
8790.0,William Wade,Female,85.0,20.0,82.0,2.0,Low,80.0,0.9,70.0,True,1
7305.0,Alyssa Berg MD,Female,91.0,25.0,65.0,,Low,,0.2,81.0,True,0
1606.0,Mary Benson,Female,70.0,,70.0,3.0,Low,,4.7,81.0,True,0
7981.0,John Odonnell,Female,85.0,8.0,60.0,,Medium,90.0,1.4,51.0,True,1
3440.0,Brandon Williamson,Male,95.0,,88.0,0.0,Medium,,,69.0,False,0
3440.0,Brandon Williamson,Male,95.0,,88.0,0.0,Medium,,,69.0,False,0
1949.0,Jessica Ortega,Male,91.0,20.0,,1.0,High,72.0,3.8,58.0,False,1
1076.0,Daniel Herrera,Male,82.0,25.0,88.0,1.0,Medium,72.0,1.0,93.0,True,1
1508.0,Megan Diaz,Male,92.0,15.0,86.0,0.0,High,68.0,2.4,57.0,True,1
5516.0,Jean Moreno,Male,90.0,15.0,60.0,3.0,High,,1.0,56.0,True,0
5835.0,Benjamin Alexander,Female,70.0,12.0,77.0,1.0,High,85.0,1.9,76.0,True,1
8940.0,James Long,Male,78.0,25.0,70.0,1.0,Low,,,83.0,False,0
2817.0,Aaron Duarte,Male,91.0,22.0,85.0,2.0,High,72.0,0.5,90.0,True,1
1119.0,Jonathan Daniel,Female,,30.0,90.0,2.0,Low,88.0,0.2,78.0,True,1
8021.0,Maria Walls,Female,88.0,10.0,90.0,1.0,Medium,,2.4,94.0,True,0
1807.0,Taylor Smith,Female,88.0,30.0,78.0,1.0,Medium,,1.4,81.0,True,0
3440.0,Brandon Williamson,Male,95.0,,88.0,0.0,Medium,,,69.0,False,0
1020.0,Timothy Clements,Male,70.0,17.0,60.0,0.0,Medium,,4.4,72.0,False,0
1807.0,Taylor Smith,Female,88.0,30.0,78.0,1.0,Medium,,1.4,81.0,True,0
9892.0,David Gonzalez,Female,92.0,22.0,65.0,2.0,Medium,,3.7,67.0,True,0
7292.0,William Nelson,Male,90.0,10.0,86.0,2.0,High,88.0,,91.0,True,1
9892.0,David Gonzalez,Female,92.0,22.0,65.0,2.0,Medium,,3.7,67.0,True,0
,David Rowe,Male,,10.0,77.0,1.0,Medium,62.0,0.6,72.0,True,1
1440.0,Cassandra Snyder,Female,92.0,17.0,82.0,2.0,Medium,,0.7,69.0,True,0
3295.0,Brian Huffman,Female,92.0,22.0,,3.0,Low,90.0,1.2,59.0,True,1
3735.0,,Female,78.0,18.0,78.0,3.0,High,,3.7,75.0,False,0
,Steven Wood,Male,70.0,30.0,85.0,2.0,High,,4.9,80.0,True,0
7211.0,Brianna Henderson,Male,95.0,20.0,88.0,3.0,Low,87.0,1.5,80.0,False,1
1691.0,Ricky Jenkins,Female,85.0,15.0,85.0,1.0,Low,85.0,4.3,76.0,False,1
1258.0,Courtney Haas,Male,88.0,15.0,65.0,0.0,Low,87.0,3.7,80.0,False,1
9202.0,Charles Pearson,Female,91.0,18.0,60.0,2.0,High,,3.9,72.0,True,0
5087.0,Andrew Cook,Male,85.0,15.0,88.0,3.0,Medium,,4.1,82.0,False,0
3421.0,Jeffrey Meyers,,85.0,22.0,85.0,3.0,High,78.0,1.6,59.0,False,1
8454.0,Timothy Austin,Female,91.0,18.0,88.0,0.0,High,68.0,0.4,88.0,False,1
5157.0,,Female,91.0,,60.0,0.0,Low,87.0,3.7,78.0,True,1
6312.0,David Meyer,Male,,12.0,65.0,1.0,High,,3.0,71.0,True,0
6562.0,Amy Rodriguez,Male,95.0,10.0,85.0,2.0,Low,,2.7,62.0,False,0
2416.0,William Christian,Female,82.0,17.0,90.0,3.0,Medium,,1.4,96.0,False,0
6175.0,Lance Johnson,Female,95.0,20.0,65.0,0.0,Low,88.0,1.3,84.0,False,1
1214.0,Stephanie Reid,Male,85.0,20.0,77.0,1.0,Medium,72.0,3.7,76.0,False,1
6669.0,Ryan Williams,Female,90.0,18.0,90.0,,,68.0,3.1,89.0,,1
6316.0,Andrea Barber,Male,78.0,18.0,86.0,2.0,Medium,92.0,0.0,52.0,False,1
6966.0,Joseph Green,Female,92.0,8.0,82.0,1.0,Low,,0.2,,True,0
5275.0,Jessica Banks,Male,95.0,8.0,86.0,2.0,Low,,2.3,51.0,True,0
8001.0,Brian Miles,Male,88.0,17.0,,2.0,Low,,1.6,76.0,True,0
,Steven Wood,Male,70.0,30.0,85.0,2.0,High,,4.9,80.0,True,0
2416.0,William Christian,Female,82.0,17.0,90.0,3.0,Medium,,1.4,96.0,False,0
5473.0,James Torres,Male,95.0,30.0,90.0,1.0,Low,90.0,0.1,94.0,True,1
4853.0,Richard Johnson,Female,90.0,22.0,90.0,3.0,Low,80.0,3.1,76.0,False,1
9577.0,Cheyenne Oliver,Male,78.0,,88.0,0.0,,90.0,4.8,77.0,False,1
5421.0,Samuel Smith,Female,92.0,25.0,90.0,2.0,High,,4.3,81.0,False,0
2389.0,Virginia Medina,Female,,8.0,65.0,0.0,High,,3.8,92.0,True,0
3972.0,Robert Davis,Male,91.0,8.0,85.0,0.0,Low,80.0,0.5,83.0,True,1
3425.0,William Hill,Male,95.0,20.0,90.0,2.0,High,68.0,,67.0,True,1
2229.0,Nathaniel Kemp,Female,,12.0,65.0,1.0,High,88.0,3.4,78.0,True,1
5285.0,Ms. Marissa Ramirez,Female,92.0,15.0,85.0,1.0,,68.0,2.0,82.0,False,1
6026.0,Brandon Alvarez,Female,78.0,10.0,78.0,3.0,Medium,88.0,0.2,88.0,False,1
9892.0,David Gonzalez,Female,92.0,22.0,65.0,2.0,Medium,,3.7,67.0,True,0
4772.0,Felicia Carpenter,Female,,25.0,90.0,,Low,90.0,4.0,74.0,True,1
3213.0,Christine Shah,Male,92.0,20.0,78.0,3.0,High,92.0,2.4,59.0,True,1
8618.0,Lisa Castillo,Female,85.0,25.0,70.0,1.0,Low,68.0,3.3,68.0,False,1
1245.0,Terry Rodriguez,Female,95.0,15.0,60.0,3.0,Medium,92.0,0.3,67.0,False,1
6876.0,David Park,Female,90.0,22.0,70.0,3.0,Low,72.0,1.9,82.0,False,1
2650.0,Jennifer Clark,Female,78.0,18.0,,1.0,Medium,85.0,0.6,92.0,True,1
6681.0,Alicia Watson,Female,70.0,22.0,65.0,0.0,High,68.0,4.5,96.0,False,1
8215.0,Aaron Walls,Male,91.0,30.0,78.0,1.0,High,92.0,1.4,64.0,False,1
4394.0,John Warner,Male,92.0,30.0,65.0,3.0,High,,4.3,59.0,True,0
2324.0,Michael Gonzales,Female,95.0,10.0,88.0,1.0,High,78.0,1.4,98.0,True,1
6562.0,Amy Rodriguez,Male,95.0,10.0,85.0,2.0,Low,,2.7,62.0,False,0
9148.0,John Coleman,Female,88.0,8.0,60.0,0.0,Low,80.0,2.9,86.0,True,1
1370.0,Thomas Lee,Female,90.0,10.0,90.0,2.0,High,72.0,0.8,85.0,False,1
9485.0,Jesus Henson,Female,70.0,17.0,77.0,1.0,High,90.0,0.5,83.0,False,1
8854.0,Matthew Miller,Male,95.0,18.0,78.0,3.0,High,87.0,3.7,98.0,False,1
7797.0,Angela Williams,,85.0,22.0,60.0,2.0,High,,1.1,78.0,,0
9892.0,David Gonzalez,Female,92.0,22.0,65.0,2.0,Medium,,3.7,67.0,True,0
6653.0,Daniel Solomon,Male,88.0,20.0,78.0,,Medium,62.0,2.4,80.0,True,1
5049.0,Ashley Kaufman,Male,88.0,10.0,70.0,3.0,Medium,92.0,3.6,100.0,False,1
8021.0,Maria Walls,Female,88.0,10.0,90.0,1.0,Medium,,2.4,94.0,True,0
6053.0,Mr. Martin Dominguez MD,Female,95.0,12.0,77.0,1.0,High,78.0,3.8,70.0,True,1
9598.0,Michael Valenzuela,Male,95.0,12.0,70.0,,High,62.0,3.3,65.0,False,1
1020.0,Timothy Clements,Male,70.0,17.0,60.0,0.0,Medium,,4.4,72.0,False,0
3485.0,Lori Miller,Male,91.0,18.0,85.0,3.0,High,72.0,3.8,88.0,True,1
4595.0,Collin Peterson,Female,70.0,17.0,78.0,0.0,Medium,62.0,3.6,79.0,True,1
1996.0,Manuel Baker,Female,70.0,8.0,85.0,1.0,Low,,0.4,55.0,False,0
9201.0,David Robertson,Male,82.0,20.0,82.0,,Low,,0.8,98.0,True,0
9614.0,Isaac Lopez,Male,82.0,15.0,60.0,1.0,Medium,72.0,3.9,72.0,False,1
2389.0,Virginia Medina,Female,,8.0,65.0,0.0,High,,3.8,92.0,True,0
5087.0,Andrew Cook,Male,85.0,15.0,88.0,3.0,Medium,,4.1,82.0,False,0
8753.0,Grace Valencia,Female,70.0,12.0,88.0,1.0,Low,78.0,1.4,66.0,True,1
2450.0,Carl Coleman,Male,85.0,22.0,82.0,2.0,Low,87.0,3.2,55.0,True,1
4394.0,John Warner,Male,92.0,30.0,65.0,3.0,High,,4.3,59.0,True,0
1372.0,Gina Palmer,Female,85.0,12.0,60.0,2.0,Medium,92.0,1.2,72.0,True,1
6280.0,David Hernandez,Male,90.0,18.0,77.0,3.0,Medium,88.0,3.1,74.0,False,1
2387.0,Randy Anderson,Male,91.0,12.0,65.0,0.0,High,68.0,1.3,67.0,False,1
3730.0,Justin Martinez,Female,95.0,17.0,78.0,1.0,Low,62.0,1.4,100.0,True,1
4594.0,Jonathon Woodward,Female,88.0,25.0,78.0,1.0,Low,87.0,0.3,88.0,True,1
5516.0,Jean Moreno,Male,90.0,15.0,60.0,3.0,High,,1.0,56.0,True,0
4394.0,John Warner,Male,92.0,30.0,65.0,3.0,High,,4.3,59.0,True,0
1606.0,Mary Benson,Female,70.0,,70.0,3.0,Low,,4.7,81.0,True,0
6956.0,Erika Kennedy,Male,70.0,15.0,90.0,2.0,High,72.0,4.5,68.0,False,1
3440.0,Brandon Williamson,Male,95.0,,88.0,0.0,Medium,,,69.0,False,0
8381.0,Peter Welch,Female,88.0,15.0,90.0,2.0,Low,,3.5,79.0,True,0
1440.0,Cassandra Snyder,Female,92.0,17.0,82.0,2.0,Medium,,0.7,69.0,True,0
6312.0,David Meyer,Male,,12.0,65.0,1.0,High,,3.0,71.0,True,0
8842.0,Michael Woods,Female,78.0,18.0,88.0,3.0,Low,68.0,2.5,75.0,True,1
9804.0,Henry Johnson,Male,78.0,15.0,77.0,2.0,High,87.0,4.5,96.0,False,1
8149.0,Lynn Anderson,Male,70.0,22.0,90.0,2.0,High,62.0,0.0,84.0,True,1
6966.0,Joseph Green,Female,92.0,8.0,82.0,1.0,Low,,0.2,,True,0
4016.0,Julia Brooks,Female,78.0,15.0,88.0,0.0,Medium,,2.2,90.0,False,0
7529.0,Marissa Raymond,,78.0,10.0,77.0,2.0,High,78.0,2.0,86.0,True,1
1745.0,Gregory Turner,Male,82.0,18.0,,1.0,High,80.0,2.9,80.0,False,1
3735.0,,Female,78.0,18.0,78.0,3.0,High,,3.7,75.0,False,0
8381.0,Peter Welch,Female,88.0,15.0,90.0,2.0,Low,,3.5,79.0,True,0
9791.0,Brittany Andrews,Male,91.0,25.0,85.0,1.0,Low,68.0,2.4,51.0,False,1
1947.0,Leah Holmes,Female,70.0,8.0,,2.0,Low,90.0,4.5,50.0,False,1
5275.0,Jessica Banks,Male,95.0,8.0,86.0,2.0,Low,,2.3,51.0,True,0
6947.0,Ryan West,Female,95.0,18.0,78.0,3.0,High,80.0,3.5,100.0,True,1
1745.0,Jacob Yoder,Male,82.0,22.0,85.0,2.0,High,62.0,3.5,58.0,False,1
3536.0,Scott Davidson,Male,88.0,25.0,78.0,3.0,Low,72.0,0.3,70.0,,1
1996.0,Manuel Baker,Female,70.0,8.0,85.0,1.0,Low,,0.4,55.0,False,0
3440.0,Brandon Williamson,Male,95.0,,88.0,0.0,Medium,,,69.0,False,0
5528.0,David Diaz,Male,92.0,20.0,65.0,1.0,Medium,,0.8,52.0,True,0
9201.0,David Robertson,Male,82.0,20.0,82.0,,Low,,0.8,98.0,True,0
7064.0,Paige Turner,Male,91.0,8.0,77.0,0.0,Medium,,4.0,82.0,False,0
1996.0,Manuel Baker,Female,70.0,8.0,85.0,1.0,Low,,0.4,55.0,False,0
9201.0,David Robertson,Male,82.0,20.0,82.0,,Low,,0.8,98.0,True,0
5087.0,Andrew Cook,Male,85.0,15.0,88.0,3.0,Medium,,4.1,82.0,False,0
2389.0,Virginia Medina,Female,,8.0,65.0,0.0,High,,3.8,92.0,True,0
6804.0,David Aguilar,Female,70.0,17.0,78.0,2.0,High,,3.6,56.0,,0
1452.0,Antonio Hansen,Male,88.0,10.0,86.0,2.0,High,87.0,3.0,72.0,False,1
4390.0,Bryan Salazar,Male,88.0,20.0,77.0,2.0,Medium,62.0,2.4,92.0,False,1
8292.0,William Hogan,Male,95.0,30.0,85.0,2.0,Low,85.0,4.5,60.0,True,1
7305.0,Alyssa Berg MD,Female,91.0,25.0,65.0,,Low,,0.2,81.0,True,0
7064.0,Paige Turner,Male,91.0,8.0,77.0,0.0,Medium,,4.0,82.0,False,0
1310.0,Elizabeth Nichols,Female,92.0,25.0,86.0,1.0,High,,3.0,75.0,True,0
5703.0,Alexis Walton,Female,78.0,10.0,60.0,1.0,Medium,,4.3,74.0,False,0
5724.0,Calvin Vargas,Male,90.0,10.0,82.0,2.0,,68.0,2.5,63.0,True,1
